,Kilometerstand,Erstzulassung,Leistung,Getriebe,Anzahl der Fahrzeughalter,Kraftstoffart,Fahrzeugzustand,Kategorie,Hubraum,Verbrauch,CO₂-Emissionen,Anzahl der Türen,Klimatisierung,Farbe,Innenausstattung,Price,Dealer,Ad_link,Umweltplakette,Farbe (Hersteller),Baujahr,Zugr.-lgd. Treibstoffart
0,148.925 km,01/2009,283 kW (385 PS),Automatik,3,Benzin,Unfallfrei,Sportwagen / Coupé,3.800 cm³,"ca. 11,0 l/100km (kombiniert)ca. 16,5 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 259 g/km (kombiniert),2/3,2-Zonen-Klimaautomatik,Schwarz Metallic,"Vollleder, Schwarz",59.900 €,Privatanbieter,https://suchen.mobile.de/fahrzeuge/details.html?id=376392454&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,,,,
1,188.997 km,08/2009,283 kW (385 PS),Automatik,,Benzin,,Sportwagen / Coupé,3.800 cm³,"ca. 10,7 l/100km (kombiniert)ca. 15,8 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 251 g/km (kombiniert),2/3,2-Zonen-Klimaautomatik,Schwarz Metallic,"Vollleder, Schwarz",49.990 €,Autozentrum Rheinland,https://suchen.mobile.de/fahrzeuge/details.html?id=367309574&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,4 (Grün),Schwarz,,
2,22.500 km,12/2009,283 kW (385 PS),Automatik,2,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 11,0 l/100km (kombiniert)ca. 16,5 l/100km (innerorts)ca. 7,9 l/100km (außerorts)",ca. 259 g/km (kombiniert),2/3,Klimaautomatik,Weiß,"Vollleder, Schwarz",95.000 €,Hans Schlund Automobile,https://suchen.mobile.de/fahrzeuge/details.html?id=378047641&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,4 (Grün),Carraraweiß,,
3,82.295 km,07/2011,283 kW (385 PS),Schaltgetriebe,,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 11,0 l/100km (kombiniert)ca. 16,5 l/100km (innerorts)ca. 7,9 l/100km (außerorts)",ca. 259 g/km (kombiniert),2/3,Klimaautomatik,Rot Metallic,"Vollleder, Schwarz",85.999 €,GDCauto - De Clercq Geert NV,https://suchen.mobile.de/fahrzeuge/details.html?id=342406831&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,,RUBY RED,,
4,85.000 km,10/2010,283 kW (385 PS),Automatik,,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 10,7 l/100km (kombiniert)ca. 16,1 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 251 g/km (kombiniert),2/3,Klimaautomatik,Grau Metallic,"Vollleder, Braun",82.250 €,Nordic Drive ApS,https://suchen.mobile.de/fahrzeuge/details.html?id=370723556&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,,Meteorgraumetallic,,
5,127.406 km,07/2009,283 kW (385 PS),Schaltgetriebe,,Benzin,,Sportwagen / Coupé,3.800 cm³,"ca. 11,0 l/100km (kombiniert)ca. 16,5 l/100km (innerorts)ca. 7,9 l/100km (außerorts)",ca. 261 g/km (kombiniert),2/3,Klimaautomatik,Silber Metallic,"Vollleder, Schwarz",69.950 €,Philipp Hübsch - Automobilvertrieb,https://suchen.mobile.de/fahrzeuge/details.html?id=378468132&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,,GT-Silber metallic,,
6,90.681 km,01/2009,283 kW (385 PS),Automatik,,Benzin,,Sportwagen / Coupé,3.800 cm³,,,2/3,Keine Klimaanlage oder -automatik,Grau,"Vollleder, Schwarz",74.950 €,HooG Selections B.V.,https://suchen.mobile.de/fahrzeuge/details.html?id=373828321&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,,METEORGREY,2009,
7,117.100 km,02/2009,254 kW (345 PS),Automatik,2,Benzin,Unfallfrei,Sportwagen / Coupé,3.614 cm³,"ca. 10,3 l/100km (kombiniert)ca. 15,5 l/100km (innerorts)ca. 7,2 l/100km (außerorts)",ca. 242 g/km (kombiniert),2/3,2-Zonen-Klimaautomatik,Braun,"Vollleder, Braun",72.900 €,"Cohen & Cars, Promosol Sliglo XXI SLU",https://suchen.mobile.de/fahrzeuge/details.html?id=342771816&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,,Macadamia,,
8,10.700 km,10/2010,283 kW (385 PS),Automatik,,Benzin,,Cabrio / Roadster,3.800 cm³,,,2/3,Klimaautomatik,Schwarz,"Teilleder, Schwarz",84.000 €,RVM Exclusive Cars GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=369110892&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,4 (Grün),Schwarz,,
9,19.000 km,05/2009,283 kW (385 PS),Automatik,1,Benzin,Unfallfrei,Sportwagen / Coupé,3.800 cm³,"ca. 11,0 l/100km (kombiniert)ca. 16,5 l/100km (innerorts)ca. 7,9 l/100km (außerorts)",ca. 259 g/km (kombiniert),2/3,Klimaautomatik,Silber Metallic,"Vollleder, Andere",87.500 €,Hans Schlund Automobile,https://suchen.mobile.de/fahrzeuge/details.html?id=339393390&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,4 (Grün),Arktissilbermetallic,,Benzin
